video,time_sec,frame_index,keypoint,x,y,confidence,source
8.mp4,0.0,0,nose,427.984375,621.5234375,0.843982458114624,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,upper_jaw,435.546875,632.8203125,0.7122513055801392,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,lower_jaw,439.328125,640.3515625,0.47135353088378906,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,mouth_end_right,401.515625,595.1640625,0.15059295296669006,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,mouth_end_left,462.015625,613.9921875,0.3359544277191162,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,right_eye,390.171875,534.9140625,0.8944413065910339,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,right_earbase,378.828125,501.0234375,0.462403267621994,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,right_earend,337.234375,542.4453125,0.23215527832508087,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,right_antler_base,378.828125,501.0234375,0.4335768222808838,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,right_antler_end,548.984375,557.5078125,0.10424541682004929,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,left_eye,469.578125,527.3828125,0.8898760080337524,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,left_earbase,499.828125,489.7265625,0.4893743693828583,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,left_earend,492.265625,572.5703125,0.036661114543676376,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,left_antler_base,499.828125,489.7265625,0.44548141956329346,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,left_antler_end,548.984375,557.5078125,0.11350887268781662,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,neck_base,435.546875,467.1328125,0.6366699934005737,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,neck_end,439.328125,455.8359375,0.5728088021278381,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,throat_base,488.484375,557.5078125,0.036278557032346725,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,throat_end,435.546875,463.3671875,0.04092317074537277,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,back_base,439.328125,455.8359375,0.5536525845527649,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,back_end,443.109375,425.7109375,0.10582853853702545,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,back_middle,435.546875,425.7109375,0.48049259185791016,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,tail_base,443.109375,425.7109375,0.10131547600030899,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,tail_end,548.984375,557.5078125,0.17344990372657776,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,front_left_thai,518.734375,512.3203125,0.18763624131679535,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,front_left_knee,386.390625,553.7421875,0.019475769251585007,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,front_left_paw,537.640625,549.9765625,0.1358078420162201,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,front_right_thai,371.265625,531.1484375,0.332367867231369,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,front_right_knee,367.484375,542.4453125,0.4311029613018036,deeplabcut_superanimal_quadruped
8.mp4,0.0,0,front_right_paw,344.796875,572.5703125,0.4880307614803314,deeplabcut_superanimal_quadruped
