roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
throat_area,green,0,212.1,15.18,0.0,0.0,4.63,0.086,14.88,2888.5,650.0
throat_area,g_minus_r,0,86.1,8.37,0.0,0.0,4.63,0.089,14.88,2888.5,650.0
throat_area,chrom,0,148.2,9.82,0.0,0.0,4.63,0.129,14.88,2888.5,650.0
throat_area,pos,0,86.1,8.19,0.0,0.0,4.63,0.086,14.88,2888.5,650.0
throat_area,pca,0,86.7,8.24,0.0,0.0,4.63,0.082,14.88,2888.5,650.0
throat_area,ica,0,86.1,16.35,0.0,0.0,4.63,0.192,14.88,2888.5,650.0
throat_area,dog_learned,0,148.2,9.18,0.0,0.0,4.63,0.131,14.88,2888.5,650.0
throat_area,green,50,210.4,11.39,0.0,0.0,5.27,0.249,20.53,2888.5,650.0
throat_area,g_minus_r,50,100.8,11.07,0.0,0.0,5.27,0.382,20.53,2888.5,650.0
throat_area,chrom,50,135.4,9.73,0.0,0.0,5.27,0.136,20.53,2888.5,650.0
throat_area,pos,50,100.8,9.48,0.0,0.0,5.27,0.333,20.53,2888.5,650.0
throat_area,pca,50,100.8,12.23,0.0,0.0,5.27,0.529,20.53,2888.5,650.0
throat_area,ica,50,100.8,14.92,0.35,0.35,5.27,0.618,20.53,2888.5,650.0
throat_area,dog_learned,50,135.4,8.71,0.0,0.0,5.27,0.256,20.53,2888.5,650.0
ear_area_right,green,0,211.5,54.33,0.0,0.0,4.63,0.026,14.88,1472.1,317.0
ear_area_right,g_minus_r,0,140.6,9.34,0.0,0.0,4.63,0.078,14.88,1472.1,317.0
ear_area_right,chrom,0,155.3,7.05,0.0,0.0,4.63,0.103,14.88,1472.1,317.0
ear_area_right,pos,0,140.6,11.58,0.0,0.0,4.63,0.072,14.88,1472.1,317.0
ear_area_right,pca,0,211.5,19.94,0.0,0.0,4.63,0.102,14.88,1472.1,317.0
ear_area_right,ica,0,211.5,16.98,0.0,0.0,4.63,0.014,14.88,1472.1,317.0
ear_area_right,dog_learned,0,141.2,11.09,0.0,0.0,4.63,0.103,14.88,1472.1,317.0
ear_area_right,green,50,211.5,46.68,0.0,0.0,5.27,0.028,20.53,1472.1,317.0
ear_area_right,g_minus_r,50,171.7,5.4,0.0,0.0,5.27,0.126,20.53,1472.1,317.0
ear_area_right,chrom,50,116.0,6.14,0.0,0.0,5.27,0.17,20.53,1472.1,317.0
ear_area_right,pos,50,121.9,10.31,0.0,0.0,5.27,0.08,20.53,1472.1,317.0
ear_area_right,pca,50,212.1,13.03,0.0,0.0,5.27,0.127,20.53,1472.1,317.0
ear_area_right,ica,50,211.5,26.57,0.0,0.0,5.27,0.053,20.53,1472.1,317.0
ear_area_right,dog_learned,50,122.5,8.81,0.0,0.0,5.27,0.141,20.53,1472.1,317.0
ear_area_left,green,0,222.7,24.67,0.0,0.0,4.63,0.01,14.88,1472.1,317.0
