roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
ear_area_left,g_minus_r,0,164.1,13.21,0.0,0.0,4.63,0.039,14.88,1472.1,317.0
ear_area_left,chrom,0,130.1,7.25,0.0,0.0,4.63,0.062,14.88,1472.1,317.0
ear_area_left,pos,0,164.1,12.25,0.0,0.0,4.63,0.052,14.88,1472.1,317.0
ear_area_left,pca,0,113.1,11.05,0.0,0.0,4.63,0.28,14.88,1472.1,317.0
ear_area_left,ica,0,222.7,19.44,0.0,0.0,4.63,0.024,14.88,1472.1,317.0
ear_area_left,dog_learned,0,130.1,11.89,0.0,0.0,4.63,0.037,14.88,1472.1,317.0
ear_area_left,green,50,197.5,24.0,0.0,0.0,5.27,0.055,20.53,1472.1,317.0
ear_area_left,g_minus_r,50,140.0,6.08,0.0,0.0,5.27,0.196,20.53,1472.1,317.0
ear_area_left,chrom,50,139.5,12.33,0.0,0.0,5.27,0.157,20.53,1472.1,317.0
ear_area_left,pos,50,140.0,6.8,0.0,0.0,5.27,0.196,20.53,1472.1,317.0
ear_area_left,pca,50,139.5,11.28,0.0,0.0,5.27,0.181,20.53,1472.1,317.0
ear_area_left,ica,50,161.1,6.56,0.0,0.0,5.27,0.256,20.53,1472.1,317.0
ear_area_left,dog_learned,50,139.5,11.54,0.0,0.0,5.27,0.2,20.53,1472.1,317.0
muzzle_area,green,0,148.2,15.27,0.0,0.0,4.63,0.019,14.88,971.1,202.0
muzzle_area,g_minus_r,0,95.5,12.05,0.0,0.0,4.63,0.305,14.88,971.1,202.0
muzzle_area,chrom,0,90.2,18.19,0.0,0.0,4.63,0.262,14.88,971.1,202.0
muzzle_area,pos,0,96.1,6.8,0.0,0.0,4.63,0.294,14.88,971.1,202.0
muzzle_area,pca,0,89.6,11.19,0.0,0.0,4.63,0.158,14.88,971.1,202.0
muzzle_area,ica,0,89.6,15.4,0.0,0.0,4.63,0.151,14.88,971.1,202.0
muzzle_area,dog_learned,0,90.2,19.25,0.0,0.0,4.63,0.278,14.88,971.1,202.0
muzzle_area,green,50,146.5,35.8,0.0,0.0,5.27,0.035,20.53,971.1,202.0
muzzle_area,g_minus_r,50,89.1,12.87,0.0,0.0,5.27,0.402,20.53,971.1,202.0
muzzle_area,chrom,50,106.1,17.27,0.0,0.0,5.27,0.517,20.53,971.1,202.0
muzzle_area,pos,50,89.1,11.61,0.0,0.0,5.27,0.369,20.53,971.1,202.0
muzzle_area,pca,50,89.1,12.42,0.0,0.0,5.27,0.28,20.53,971.1,202.0
muzzle_area,ica,50,89.1,10.11,0.0,0.0,5.27,0.194,20.53,971.1,202.0
muzzle_area,dog_learned,50,89.1,19.07,0.0,0.0,5.27,0.478,20.53,971.1,202.0
