video,target,config,est_bpm,mae,n_valid_windows,use_temporal,use_adaptive,use_ensemble,mode
6,90.0,combo1+2+3,109.1,19.1,9,True,True,True,best_window
6,90.0,ref_pos_no_prior,122.5,32.5,9,False,False,False,best_window
6,90.0,baseline_highhr+oracle,108.4,18.4,6,False,False,False,temporal
6,90.0,pure1_temporal_v1,117.8,27.8,6,True,False,False,temporal
6,90.0,pure2_adaptive,106.9,16.9,6,False,True,False,temporal
6,90.0,pure3_ensemble,101.9,11.9,6,False,False,True,temporal
6,90.0,combo1+2,117.8,27.8,6,True,True,False,temporal
6,90.0,combo1+3,115.2,25.2,6,True,False,True,temporal
6,90.0,combo2+3,102.4,12.4,6,False,True,True,temporal
6,90.0,combo1+2+3,115.2,25.2,6,True,True,True,temporal
6,90.0,ref_pos_no_prior,108.4,18.4,6,False,False,False,temporal
7,189.5,baseline_highhr+oracle,126.0,63.5,9,False,False,False,best_window
7,189.5,pure1_temporal_v1,131.2,58.2,9,True,False,False,best_window
7,189.5,pure2_adaptive,147.1,42.4,9,False,True,False,best_window
7,189.5,pure3_ensemble,153.5,36.0,9,False,False,True,best_window
7,189.5,combo1+2,131.2,58.2,9,True,True,False,best_window
7,189.5,combo1+3,133.9,55.6,9,True,False,True,best_window
7,189.5,combo2+3,153.5,36.0,9,False,True,True,best_window
7,189.5,combo1+2+3,133.9,55.6,9,True,True,True,best_window
7,189.5,ref_pos_no_prior,126.0,63.5,9,False,False,False,best_window
7,189.5,baseline_highhr+oracle,134.5,55.0,6,False,False,False,temporal
7,189.5,pure1_temporal_v1,134.5,55.0,6,True,False,False,temporal
7,189.5,pure2_adaptive,103.7,85.8,6,False,True,False,temporal
7,189.5,pure3_ensemble,134.8,54.7,6,False,False,True,temporal
7,189.5,combo1+2,134.5,55.0,6,True,True,False,temporal
7,189.5,combo1+3,141.2,48.3,6,True,False,True,temporal
7,189.5,combo2+3,134.4,55.1,6,False,True,True,temporal
7,189.5,combo1+2+3,141.2,48.3,6,True,True,True,temporal
7,189.5,ref_pos_no_prior,134.5,55.0,6,False,False,False,temporal
8,110.5,baseline_highhr+oracle,134.2,23.7,9,False,False,False,best_window
8,110.5,pure1_temporal_v1,134.2,23.7,9,True,False,False,best_window
8,110.5,pure2_adaptive,100.2,10.3,9,False,True,False,best_window
8,110.5,pure3_ensemble,123.6,13.1,9,False,False,True,best_window
8,110.5,combo1+2,134.2,23.7,9,True,True,False,best_window
8,110.5,combo1+3,124.8,14.3,9,True,False,True,best_window
8,110.5,combo2+3,123.6,13.1,9,False,True,True,best_window
8,110.5,combo1+2+3,124.8,14.3,9,True,True,True,best_window
8,110.5,ref_pos_no_prior,134.2,23.7,9,False,False,False,best_window
8,110.5,baseline_highhr+oracle,134.2,23.7,6,False,False,False,temporal
8,110.5,pure1_temporal_v1,134.8,24.3,6,True,False,False,temporal
8,110.5,pure2_adaptive,117.8,7.3,6,False,True,False,temporal
8,110.5,pure3_ensemble,124.8,14.3,6,False,False,True,temporal
8,110.5,combo1+2,135.1,24.6,6,True,True,False,temporal
8,110.5,combo1+3,124.8,14.3,6,True,False,True,temporal
8,110.5,combo2+3,124.8,14.3,6,False,True,True,temporal
8,110.5,combo1+2+3,124.8,14.3,6,True,True,True,temporal
8,110.5,ref_pos_no_prior,134.2,23.7,6,False,False,False,temporal
