roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
throat_area,green,0,207.4,14.09,0.0,0.0,15.18,0.082,10.96,2521.7,650.0
throat_area,g_minus_r,0,150.0,5.92,0.0,0.0,15.18,0.142,10.96,2521.7,650.0
throat_area,chrom,0,136.5,6.4,0.0,0.0,15.18,0.109,10.96,2521.7,650.0
throat_area,pos,0,150.0,5.85,0.0,0.0,15.18,0.145,10.96,2521.7,650.0
throat_area,pca,0,146.5,7.93,0.0,0.0,15.18,0.071,10.96,2521.7,650.0
throat_area,ica,0,146.5,7.94,0.0,0.0,15.18,0.083,10.96,2521.7,650.0
throat_area,dog_learned,0,150.6,5.68,0.0,0.0,15.18,0.171,10.96,2521.7,650.0
throat_area,green,50,213.9,20.08,0.0,0.0,12.11,0.02,13.17,2521.7,650.0
throat_area,g_minus_r,50,155.3,8.18,0.0,0.0,12.11,0.065,13.17,2521.7,650.0
throat_area,chrom,50,170.5,4.67,0.0,0.0,12.11,0.05,13.17,2521.7,650.0
throat_area,pos,50,155.3,7.77,0.0,0.0,12.11,0.066,13.17,2521.7,650.0
throat_area,pca,50,132.4,7.16,0.0,0.0,12.11,0.134,13.17,2521.7,650.0
throat_area,ica,50,155.3,6.66,0.0,0.0,12.11,0.102,13.17,2521.7,650.0
throat_area,dog_learned,50,148.8,5.83,0.0,0.0,12.11,0.079,13.17,2521.7,650.0
right_ear_base,green,0,225.6,9.47,0.0,0.0,15.18,0.042,10.96,0.0,0.0
right_ear_base,g_minus_r,0,144.1,17.44,0.0,0.0,15.18,0.058,10.96,0.0,0.0
right_ear_base,chrom,0,143.0,15.36,0.0,0.0,15.18,0.02,10.96,0.0,0.0
right_ear_base,pos,0,143.6,18.43,0.0,0.0,15.18,0.059,10.96,0.0,0.0
right_ear_base,pca,0,144.1,18.11,0.0,0.0,15.18,0.063,10.96,0.0,0.0
right_ear_base,ica,0,143.0,17.62,0.0,0.0,15.18,0.026,10.96,0.0,0.0
right_ear_base,dog_learned,0,143.6,18.34,0.0,0.0,15.18,0.063,10.96,0.0,0.0
right_ear_base,green,50,198.0,13.03,0.0,0.0,12.11,0.031,13.17,0.0,0.0
right_ear_base,g_minus_r,50,145.3,30.94,0.0,0.0,12.11,0.055,13.17,0.0,0.0
right_ear_base,chrom,50,145.3,28.43,0.0,0.0,12.11,0.031,13.17,0.0,0.0
right_ear_base,pos,50,145.3,33.92,0.0,0.0,12.11,0.052,13.17,0.0,0.0
right_ear_base,pca,50,145.3,32.55,0.0,0.0,12.11,0.054,13.17,0.0,0.0
right_ear_base,ica,50,145.3,29.05,0.0,0.0,12.11,0.031,13.17,0.0,0.0
right_ear_base,dog_learned,50,145.3,35.89,0.0,0.0,12.11,0.053,13.17,0.0,0.0
ear_area_left,green,0,147.7,36.83,0.0,0.0,15.18,0.01,10.96,1282.8,317.0
ear_area_left,g_minus_r,0,93.2,10.72,0.0,0.0,15.18,0.212,10.96,1282.8,317.0
ear_area_left,chrom,0,128.3,8.28,0.0,0.0,15.18,0.142,10.96,1282.8,317.0
ear_area_left,pos,0,93.2,10.85,0.0,0.0,15.18,0.218,10.96,1282.8,317.0
ear_area_left,pca,0,154.7,13.79,0.0,0.0,15.18,0.081,10.96,1282.8,317.0
