roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
throat_exposed,green,0,223.8,19.61,0.0,0.0,4.13,0.189,33.7,0.0,0.0
throat_exposed,g_minus_r,0,146.5,19.72,0.0,0.0,4.13,0.273,33.7,0.0,0.0
throat_exposed,chrom,0,146.5,18.92,0.0,0.0,4.13,0.224,33.7,0.0,0.0
throat_exposed,pos,0,146.5,19.85,0.0,0.0,4.13,0.273,33.7,0.0,0.0
throat_exposed,pca,0,146.5,19.95,0.0,0.0,4.13,0.255,33.7,0.0,0.0
throat_exposed,ica,0,146.5,21.08,0.0,0.0,4.13,0.228,33.7,0.0,0.0
throat_exposed,dog_learned,0,146.5,18.88,0.0,0.0,4.13,0.29,33.7,0.0,0.0
throat_exposed,green,50,215.6,16.78,0.0,0.0,4.63,0.058,33.93,0.0,0.0
throat_exposed,g_minus_r,50,125.4,8.81,0.0,0.0,4.63,0.181,33.93,0.0,0.0
throat_exposed,chrom,50,124.8,6.89,0.0,0.0,4.63,0.159,33.93,0.0,0.0
throat_exposed,pos,50,125.4,8.78,0.0,0.0,4.63,0.181,33.93,0.0,0.0
throat_exposed,pca,50,223.2,9.01,0.0,0.0,4.63,0.12,33.93,0.0,0.0
throat_exposed,ica,50,222.7,8.74,0.0,0.0,4.63,0.126,33.93,0.0,0.0
throat_exposed,dog_learned,50,124.8,7.32,0.0,0.0,4.63,0.187,33.93,0.0,0.0
right_ear_base,green,0,195.7,46.64,0.0,0.0,4.13,0.011,33.7,0.0,0.0
right_ear_base,g_minus_r,0,147.1,11.04,0.0,0.0,4.13,0.046,33.7,0.0,0.0
right_ear_base,chrom,0,165.2,9.75,0.0,0.0,4.13,0.023,33.7,0.0,0.0
right_ear_base,pos,0,147.1,10.95,0.0,0.0,4.13,0.046,33.7,0.0,0.0
right_ear_base,pca,0,195.7,12.32,0.0,0.0,4.13,0.05,33.7,0.0,0.0
right_ear_base,ica,0,195.1,20.08,0.0,0.0,4.13,0.035,33.7,0.0,0.0
