video,window_index,window_start_sec,window_end_sec,roi_id,roi_label,roi_kind,method,preprocess,peak_rank,peak_bpm,bpm_min,bpm_max,bpm_target,target_abs_error,range_error,within_range,snr,total_power_ratio,spectral_entropy,h2_ratio,half_ratio,valid_fraction,box_motion,roi_motion,color_cv,motion_coherence,bg_motion_coherence,box_motion_coherence,motion_peak_bpm,bg_motion_peak_bpm,box_motion_peak_bpm,bg_motion_global_peak_bpm,box_motion_global_peak_bpm,artifact_100bpm,quality_score,artifact_state,keypoint_source,motion_aware_score,pet_state_keypoint_score
1.mp4,0,0.0,19.933,upper_face,Upper face,face,chrom,bg_motion_residual,2,128.76,170.0,180.0,175.0,46.24,41.24,False,9.859,0.01309,0.902068,0.000993,0.351141,0.0447,0.0,0.005076,0.155454,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,3.084,stable_low_motion,,3.303543,3.503543
1.mp4,0,0.0,19.933,lower_face,Lower face,face,green,raw,1,107.666,170.0,180.0,175.0,67.334,62.334,False,40.189,0.023346,0.833199,0.017895,0.000538,0.0532,0.0,0.005834,0.156126,0.0,0.0,0.0,100.195,218.408,100.195,218.408,100.195,False,5.174343,stable_low_motion,,5.139336,5.339336
1.mp4,0,0.0,19.933,lower_face,Lower face,face,green,raw,2,96.24,170.0,180.0,175.0,78.76,73.76,False,28.164,0.016361,0.833199,0.011365,0.000768,0.0532,0.0,0.005834,0.156126,0.995,0.0,1.0,100.195,218.408,100.195,218.408,100.195,True,4.390703,100bpm_artifact,,2.455696,1.805696
1.mp4,0,0.0,19.933,lower_face,Lower face,face,green,bg_motion_residual,1,128.32,170.0,180.0,175.0,46.68,41.68,False,42.927,0.021609,0.830326,5e-06,0.068534,0.0532,0.0,0.005834,0.156126,0.0,0.0,0.0,100.195,218.408,100.195,218.408,100.195,False,5.184221,stable_low_motion,,5.399214,5.599214
1.mp4,0,0.0,19.933,lower_face,Lower face,face,green,bg_motion_residual,2,122.168,170.0,180.0,175.0,52.832,47.832,False,36.838,0.018544,0.830326,6e-06,0.079863,0.0532,0.0,0.005834,0.156126,0.0,0.0,0.0,100.195,218.408,100.195,218.408,100.195,False,4.71881,stable_low_motion,,4.933803,5.133803
1.mp4,0,0.0,19.933,lower_face,Lower face,face,chrom,raw,1,99.756,170.0,180.0,175.0,75.244,70.244,False,25.095,0.02736,0.863986,0.073037,0.479908,0.0532,0.0,0.005834,0.156126,0.995,0.0,1.0,100.195,218.408,100.195,218.408,100.195,True,4.677966,100bpm_artifact,,2.742959,2.092959
1.mp4,0,0.0,19.933,lower_face,Lower face,face,chrom,raw,2,91.406,170.0,180.0,175.0,83.594,78.594,False,12.634,0.013774,0.863986,0.026854,0.95326,0.0532,0.0,0.005834,0.156126,0.0,0.0,0.0,100.195,218.408,100.195,218.408,100.195,False,3.297683,stable_low_motion,,3.262676,3.462676
1.mp4,0,0.0,19.933,lower_face,Lower face,face,chrom,bg_motion_residual,1,95.361,170.0,180.0,175.0,79.639,74.639,False,53.545,0.032112,0.821159,0.01927,0.210928,0.0532,0.0,0.005834,0.156126,0.0,0.0,0.0,100.195,218.408,100.195,218.408,100.195,True,5.645081,100bpm_artifact,,5.310074,4.660074
1.mp4,0,0.0,19.933,lower_face,Lower face,face,chrom,bg_motion_residual,2,102.832,170.0,180.0,175.0,72.168,67.168,False,23.375,0.014019,0.821159,0.049295,0.483166,0.0532,0.0,0.005834,0.156126,0.995,0.0,1.0,100.195,218.408,100.195,218.408,100.195,True,4.059077,100bpm_artifact,,2.374071,1.724071
1.mp4,0,0.0,19.933,left_eye_proxy,Left eye proxy,keypoint,green,raw,1,104.59,170.0,180.0,175.0,70.41,65.41,False,11.89,0.019428,0.901815,0.086738,0.377922,0.0488,0.0,0.007381,0.226654,0.0,0.0,0.0,176.66,218.408,100.195,218.408,100.195,True,3.705505,100bpm_artifact,face_box_pseudo_keypoint,3.111221,2.621221
1.mp4,0,0.0,19.933,left_eye_proxy,Left eye proxy,keypoint,green,raw,2,90.088,170.0,180.0,175.0,84.912,79.912,False,6.763,0.011051,0.901815,0.208761,0.66442,0.0488,0.0,0.007381,0.226654,0.0,0.0,0.0,176.66,218.408,100.195,218.408,100.195,False,2.641154,stable_low_motion,face_box_pseudo_keypoint,2.596871,2.956871
1.mp4,0,0.0,19.933,left_eye_proxy,Left eye proxy,keypoint,green,bg_motion_residual,1,104.59,170.0,180.0,175.0,70.41,65.41,False,14.093,0.021444,0.893726,0.074044,0.352625,0.0488,0.0,0.007381,0.226654,0.0,0.0,0.0,176.66,218.408,100.195,218.408,100.195,True,3.939621,100bpm_artifact,face_box_pseudo_keypoint,3.595338,3.105338
