roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
ear_area_right,pos,0,161.1,5.19,0.0,0.0,4.4,0.059,13.33,1419.0,317.0
ear_area_right,pca,0,103.1,7.87,0.0,0.0,4.4,0.377,13.33,1419.0,317.0
ear_area_right,ica,0,107.2,8.04,0.0,0.0,4.4,0.404,13.33,1419.0,317.0
ear_area_right,green,50,193.4,22.46,0.0,0.0,4.16,0.013,14.41,1419.0,317.0
ear_area_right,g_minus_r,50,160.0,6.16,0.0,0.0,4.16,0.047,14.41,1419.0,317.0
ear_area_right,chrom,50,162.9,5.08,0.0,0.0,4.16,0.043,14.41,1419.0,317.0
ear_area_right,pos,50,160.5,5.6,0.0,0.0,4.16,0.05,14.41,1419.0,317.0
ear_area_right,pca,50,105.5,8.03,0.0,0.0,4.16,0.282,14.41,1419.0,317.0
ear_area_right,ica,50,105.5,10.43,0.0,0.0,4.16,0.421,14.41,1419.0,317.0
ear_area_right,green,100,188.1,27.56,0.0,0.0,4.88,0.013,12.22,1419.0,317.0
ear_area_right,g_minus_r,100,73.8,6.5,0.0,0.0,4.88,0.068,12.22,1419.0,317.0
ear_area_right,chrom,100,181.6,8.38,0.0,0.0,4.88,0.037,12.22,1419.0,317.0
ear_area_right,pos,100,73.8,6.57,0.0,0.0,4.88,0.068,12.22,1419.0,317.0
ear_area_right,pca,100,188.1,6.15,0.0,0.0,4.88,0.069,12.22,1419.0,317.0
ear_area_right,ica,100,181.6,9.68,0.0,0.0,4.88,0.015,12.22,1419.0,317.0
ear_area_right,green,150,184.6,14.41,0.0,0.0,5.85,0.063,10.9,1419.0,317.0
ear_area_right,g_minus_r,150,161.7,4.85,0.0,0.0,5.85,0.219,10.9,1419.0,317.0
ear_area_right,chrom,150,127.1,7.95,0.0,0.0,5.85,0.117,10.9,1419.0,317.0
ear_area_right,pos,150,161.7,4.69,0.0,0.0,5.85,0.231,10.9,1419.0,317.0
ear_area_right,pca,150,138.3,7.2,0.0,0.0,5.85,0.051,10.9,1419.0,317.0
ear_area_right,ica,150,184.0,10.08,0.0,0.0,5.85,0.03,10.9,1419.0,317.0
ear_area_right,green,200,182.2,27.58,0.0,0.0,6.59,0.034,11.49,1419.0,317.0
ear_area_right,g_minus_r,200,159.4,7.44,0.0,0.0,6.59,0.127,11.49,1419.0,317.0
ear_area_right,chrom,200,160.5,11.39,0.0,0.0,6.59,0.092,11.49,1419.0,317.0
ear_area_right,pos,200,160.0,7.42,0.0,0.0,6.59,0.13,11.49,1419.0,317.0
ear_area_right,pca,200,160.5,11.58,0.0,0.0,6.59,0.035,11.49,1419.0,317.0
ear_area_right,ica,200,181.1,16.39,0.0,0.0,6.59,0.006,11.49,1419.0,317.0
ear_area_right,green,250,181.1,30.71,0.0,0.0,5.26,0.022,9.75,1419.0,317.0
ear_area_right,g_minus_r,250,155.9,7.31,0.0,0.0,5.26,0.064,9.75,1419.0,317.0
ear_area_right,chrom,250,162.9,10.42,0.0,0.0,5.26,0.044,9.75,1419.0,317.0
ear_area_right,pos,250,162.3,6.97,0.0,0.0,5.26,0.064,9.75,1419.0,317.0
ear_area_right,pca,250,178.7,9.8,0.0,0.0,5.26,0.094,9.75,1419.0,317.0
ear_area_right,ica,250,180.5,13.31,0.0,0.0,5.26,0.005,9.75,1419.0,317.0
ear_area_right,green,300,197.5,16.36,0.0,0.0,4.26,0.028,11.59,1419.0,317.0
ear_area_right,g_minus_r,300,79.1,6.99,0.0,0.0,4.26,0.127,11.59,1419.0,317.0
ear_area_right,chrom,300,76.2,6.32,0.0,0.0,4.26,0.028,11.59,1419.0,317.0
ear_area_right,pos,300,78.5,7.89,0.0,0.0,4.26,0.112,11.59,1419.0,317.0
ear_area_right,pca,300,206.2,8.64,0.0,0.0,4.26,0.121,11.59,1419.0,317.0
ear_area_right,ica,300,205.7,8.4,0.0,0.0,4.26,0.112,11.59,1419.0,317.0
ear_area_right,green,350,199.2,39.49,0.0,0.0,3.71,0.029,12.28,1419.0,317.0
ear_area_right,g_minus_r,350,138.9,9.72,0.0,0.0,3.71,0.101,12.28,1419.0,317.0
ear_area_right,chrom,350,138.9,7.25,0.0,0.0,3.71,0.082,12.28,1419.0,317.0
ear_area_right,pos,350,138.9,10.83,0.0,0.0,3.71,0.105,12.28,1419.0,317.0
ear_area_right,pca,350,138.3,7.73,0.0,0.0,3.71,0.02,12.28,1419.0,317.0
ear_area_right,ica,350,199.2,11.7,0.0,0.0,3.71,0.011,12.28,1419.0,317.0
ear_area_right,green,400,199.2,16.28,0.0,0.0,3.41,0.033,11.73,1419.0,317.0
ear_area_right,g_minus_r,400,154.7,10.6,0.0,0.0,3.41,0.106,11.73,1419.0,317.0
ear_area_right,chrom,400,155.3,11.23,0.0,0.0,3.41,0.035,11.73,1419.0,317.0
ear_area_right,pos,400,154.7,11.62,0.0,0.0,3.41,0.107,11.73,1419.0,317.0
ear_area_right,pca,400,155.9,12.61,0.0,0.0,3.41,0.016,11.73,1419.0,317.0
ear_area_right,ica,400,155.9,9.42,0.0,0.0,3.41,0.006,11.73,1419.0,317.0
ear_area_left,green,0,193.9,12.12,0.0,0.0,4.4,0.037,13.33,1418.9,317.0
ear_area_left,g_minus_r,0,154.1,6.92,0.0,0.0,4.4,0.127,13.33,1418.9,317.0
ear_area_left,chrom,0,154.7,5.78,0.0,0.0,4.4,0.051,13.33,1418.9,317.0
ear_area_left,pos,0,154.1,6.99,0.0,0.0,4.4,0.126,13.33,1418.9,317.0
ear_area_left,pca,0,154.7,6.78,0.0,0.0,4.4,0.043,13.33,1418.9,317.0
ear_area_left,ica,0,154.7,6.46,0.0,0.0,4.4,0.076,13.33,1418.9,317.0
ear_area_left,green,50,193.9,22.0,0.0,0.0,4.16,0.017,14.41,1418.9,317.0
ear_area_left,g_minus_r,50,75.0,5.52,0.0,0.0,4.16,0.084,14.41,1418.9,317.0
ear_area_left,chrom,50,178.1,5.71,0.0,0.0,4.16,0.031,14.41,1418.9,317.0
ear_area_left,pos,50,74.4,5.34,0.0,0.0,4.16,0.084,14.41,1418.9,317.0
ear_area_left,pca,50,198.6,5.07,0.0,0.0,4.16,0.055,14.41,1418.9,317.0
ear_area_left,ica,50,178.1,5.98,0.0,0.0,4.16,0.027,14.41,1418.9,317.0
ear_area_left,green,100,189.8,55.85,0.0,0.0,4.88,0.01,12.22,1418.9,317.0
ear_area_left,g_minus_r,100,166.4,7.37,0.0,0.0,4.88,0.044,12.22,1418.9,317.0
ear_area_left,chrom,100,182.8,12.68,0.0,0.0,4.88,0.015,12.22,1418.9,317.0
ear_area_left,pos,100,166.4,7.51,0.0,0.0,4.88,0.044,12.22,1418.9,317.0
ear_area_left,pca,100,189.8,9.36,0.0,0.0,4.88,0.052,12.22,1418.9,317.0
ear_area_left,ica,100,182.2,13.86,0.0,0.0,4.88,0.007,12.22,1418.9,317.0
ear_area_left,green,150,182.8,56.76,0.0,0.0,5.85,0.01,10.9,1418.9,317.0
ear_area_left,g_minus_r,150,128.9,18.16,0.0,0.0,5.85,0.03,10.9,1418.9,317.0
ear_area_left,chrom,150,156.4,10.6,0.0,0.0,5.85,0.019,10.9,1418.9,317.0
ear_area_left,pos,150,128.9,18.24,0.0,0.0,5.85,0.029,10.9,1418.9,317.0
ear_area_left,pca,150,182.8,10.88,0.0,0.0,5.85,0.006,10.9,1418.9,317.0
ear_area_left,ica,150,182.8,11.58,0.0,0.0,5.85,0.013,10.9,1418.9,317.0
ear_area_left,green,200,182.2,39.73,0.0,0.0,6.59,0.016,11.49,1418.9,317.0
ear_area_left,g_minus_r,200,129.5,13.02,0.0,0.0,6.59,0.046,11.49,1418.9,317.0
ear_area_left,chrom,200,130.7,12.53,0.0,0.0,6.59,0.017,11.49,1418.9,317.0
ear_area_left,pos,200,129.5,13.68,0.0,0.0,6.59,0.045,11.49,1418.9,317.0
ear_area_left,pca,200,182.2,8.32,0.0,0.0,6.59,0.006,11.49,1418.9,317.0
ear_area_left,ica,200,182.8,9.79,0.0,0.0,6.59,0.012,11.49,1418.9,317.0
