roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
throat_exposed,green,0,204.5,15.06,0.0,0.0,16.65,0.055,39.73,0.0,0.0
throat_exposed,g_minus_r,0,89.6,3.88,0.0,0.0,16.65,0.137,39.73,0.0,0.0
throat_exposed,chrom,0,154.7,5.68,0.0,0.0,16.65,0.071,39.73,0.0,0.0
throat_exposed,pos,0,89.6,3.76,0.0,0.0,16.65,0.135,39.73,0.0,0.0
throat_exposed,pca,0,154.1,4.97,0.0,0.0,16.65,0.114,39.73,0.0,0.0
throat_exposed,ica,0,204.5,5.71,0.0,0.0,16.65,0.164,39.73,0.0,0.0
throat_exposed,dog_learned,0,154.7,5.61,0.0,0.0,16.65,0.134,39.73,0.0,0.0
throat_exposed,green,50,203.9,8.85,0.0,0.0,16.76,0.138,40.3,0.0,0.0
throat_exposed,g_minus_r,50,159.4,10.42,0.0,0.0,16.76,0.218,40.3,0.0,0.0
throat_exposed,chrom,50,158.8,7.91,0.0,0.0,16.76,0.187,40.3,0.0,0.0
throat_exposed,pos,50,159.4,10.29,0.0,0.0,16.76,0.221,40.3,0.0,0.0
throat_exposed,pca,50,158.8,8.76,0.0,0.0,16.76,0.166,40.3,0.0,0.0
throat_exposed,ica,50,159.4,13.65,0.0,0.0,16.76,0.013,40.3,0.0,0.0
throat_exposed,dog_learned,50,158.8,9.2,0.0,0.0,16.76,0.275,40.3,0.0,0.0
ear_area_right,green,0,176.4,21.67,0.0,0.0,16.65,0.063,39.73,1456.7,317.0
ear_area_right,g_minus_r,0,150.6,9.01,0.0,0.0,16.65,0.138,39.73,1456.7,317.0
ear_area_right,chrom,0,148.8,12.14,0.0,0.0,16.65,0.053,39.73,1456.7,317.0
ear_area_right,pos,0,150.6,8.97,0.0,0.0,16.65,0.141,39.73,1456.7,317.0
ear_area_right,pca,0,148.8,13.01,0.0,0.0,16.65,0.048,39.73,1456.7,317.0
ear_area_right,ica,0,149.4,18.73,0.0,0.0,16.65,0.024,39.73,1456.7,317.0
ear_area_right,dog_learned,0,148.8,9.6,0.0,0.0,16.65,0.078,39.73,1456.7,317.0
ear_area_right,green,50,178.1,15.7,0.0,0.0,16.76,0.074,40.3,1456.7,317.0
ear_area_right,g_minus_r,50,152.9,14.45,0.0,0.0,16.76,0.21,40.3,1456.7,317.0
ear_area_right,chrom,50,148.8,13.95,0.0,0.0,16.76,0.071,40.3,1456.7,317.0
ear_area_right,pos,50,152.9,14.34,0.0,0.0,16.76,0.198,40.3,1456.7,317.0
ear_area_right,pca,50,148.8,14.36,0.0,0.0,16.76,0.046,40.3,1456.7,317.0
ear_area_right,ica,50,148.8,13.85,0.0,0.0,16.76,0.048,40.3,1456.7,317.0
ear_area_right,dog_learned,50,148.2,16.28,0.0,0.0,16.76,0.102,40.3,1456.7,317.0
ear_area_left,green,0,205.1,12.9,0.0,0.0,16.65,0.081,39.73,1445.6,317.0
ear_area_left,g_minus_r,0,144.7,4.4,0.0,0.0,16.65,0.166,39.73,1445.6,317.0
ear_area_left,chrom,0,152.9,6.55,0.0,0.0,16.65,0.182,39.73,1445.6,317.0
ear_area_left,pos,0,144.7,4.56,0.0,0.0,16.65,0.183,39.73,1445.6,317.0
ear_area_left,pca,0,207.4,6.07,0.0,0.0,16.65,0.114,39.73,1445.6,317.0
ear_area_left,ica,0,186.9,9.49,0.0,0.0,16.65,0.24,39.73,1445.6,317.0
ear_area_left,dog_learned,0,152.9,6.16,0.0,0.0,16.65,0.244,39.73,1445.6,317.0
ear_area_left,green,50,205.1,11.32,0.0,0.0,16.76,0.104,40.3,1445.6,317.0
ear_area_left,g_minus_r,50,106.1,9.69,0.0,0.0,16.76,0.225,40.3,1445.6,317.0
ear_area_left,chrom,50,162.3,14.34,0.0,0.0,16.76,0.211,40.3,1445.6,317.0
ear_area_left,pos,50,106.1,16.43,0.0,0.0,16.76,0.229,40.3,1445.6,317.0
ear_area_left,pca,50,106.1,16.59,0.0,0.0,16.76,0.373,40.3,1445.6,317.0
ear_area_left,ica,50,106.1,14.94,0.0,0.0,16.76,0.367,40.3,1445.6,317.0
ear_area_left,dog_learned,50,106.1,21.75,0.0,0.0,16.76,0.262,40.3,1445.6,317.0
muzzle_area,green,0,209.8,16.8,0.0,0.0,16.65,0.075,39.73,963.1,202.0
muzzle_area,g_minus_r,0,150.6,5.87,0.0,0.0,16.65,0.229,39.73,963.1,202.0
muzzle_area,chrom,0,130.1,5.22,0.0,0.0,16.65,0.168,39.73,963.1,202.0
muzzle_area,pos,0,130.7,7.04,0.0,0.0,16.65,0.219,39.73,963.1,202.0
muzzle_area,pca,0,120.7,7.2,0.0,0.0,16.65,0.34,39.73,963.1,202.0
muzzle_area,ica,0,95.5,6.99,0.0,0.0,16.65,0.366,39.73,963.1,202.0
muzzle_area,dog_learned,0,130.7,9.87,0.0,0.0,16.65,0.238,39.73,963.1,202.0
muzzle_area,green,50,209.2,11.34,0.0,0.0,16.76,0.123,40.3,963.1,202.0
muzzle_area,g_minus_r,50,131.2,15.34,0.0,0.0,16.76,0.144,40.3,963.1,202.0
muzzle_area,chrom,50,131.2,13.56,0.0,0.0,16.76,0.097,40.3,963.1,202.0
muzzle_area,pos,50,131.2,16.25,0.0,0.0,16.76,0.145,40.3,963.1,202.0
muzzle_area,pca,50,131.2,15.59,0.0,0.0,16.76,0.112,40.3,963.1,202.0
muzzle_area,ica,50,131.2,10.54,0.0,0.0,16.76,0.059,40.3,963.1,202.0
muzzle_area,dog_learned,50,131.2,18.61,0.0,0.0,16.76,0.153,40.3,963.1,202.0
