roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
throat_area,green,0,176.4,26.13,0.0,0.0,4.53,0.037,9.31,2888.5,650.0
throat_area,g_minus_r,0,158.2,8.41,0.0,0.0,4.53,0.158,9.31,2888.5,650.0
throat_area,chrom,0,158.2,8.55,0.0,0.0,4.53,0.134,9.31,2888.5,650.0
throat_area,pos,0,158.2,8.41,0.0,0.0,4.53,0.158,9.31,2888.5,650.0
throat_area,pca,0,176.4,8.75,0.0,0.0,4.53,0.155,9.31,2888.5,650.0
throat_area,ica,0,177.0,12.24,0.0,0.0,4.53,0.13,9.31,2888.5,650.0
throat_area,dog_learned,0,158.2,8.24,0.0,0.0,4.53,0.172,9.31,2888.5,650.0
throat_area,green,50,199.8,26.85,0.0,0.0,4.07,0.035,7.26,2888.5,650.0
throat_area,g_minus_r,50,72.1,6.12,0.0,0.0,4.07,0.161,7.26,2888.5,650.0
throat_area,chrom,50,223.8,6.67,0.0,0.0,4.07,0.123,7.26,2888.5,650.0
throat_area,pos,50,72.1,6.1,0.0,0.0,4.07,0.162,7.26,2888.5,650.0
throat_area,pca,50,223.8,8.78,0.0,0.0,4.07,0.156,7.26,2888.5,650.0
throat_area,ica,50,223.8,9.59,0.0,0.0,4.07,0.141,7.26,2888.5,650.0
throat_area,dog_learned,50,72.1,5.71,0.0,0.0,4.07,0.178,7.26,2888.5,650.0
right_ear_base,green,0,185.7,38.62,0.0,0.0,4.53,0.088,9.31,0.0,0.0
right_ear_base,g_minus_r,0,144.7,12.52,0.0,0.0,4.53,0.314,9.31,0.0,0.0
right_ear_base,chrom,0,100.8,8.09,0.0,0.0,4.53,0.234,9.31,0.0,0.0
right_ear_base,pos,0,144.7,12.29,0.0,0.0,4.53,0.319,9.31,0.0,0.0
right_ear_base,pca,0,101.4,9.53,0.0,0.0,4.53,0.363,9.31,0.0,0.0
right_ear_base,ica,0,192.2,11.73,0.0,0.0,4.53,0.188,9.31,0.0,0.0
right_ear_base,dog_learned,0,100.8,9.66,0.0,0.0,4.53,0.338,9.31,0.0,0.0
right_ear_base,green,50,185.7,42.81,0.0,0.0,4.07,0.054,7.26,0.0,0.0
right_ear_base,g_minus_r,50,158.2,8.86,0.0,0.0,4.07,0.137,7.26,0.0,0.0
right_ear_base,chrom,50,143.6,7.88,0.0,0.0,4.07,0.192,7.26,0.0,0.0
right_ear_base,pos,50,158.2,9.08,0.0,0.0,4.07,0.131,7.26,0.0,0.0
right_ear_base,pca,50,185.7,10.48,0.0,0.0,4.07,0.225,7.26,0.0,0.0
right_ear_base,ica,50,158.2,9.54,0.0,0.0,4.07,0.105,7.26,0.0,0.0
right_ear_base,dog_learned,50,143.0,7.82,0.0,0.0,4.07,0.218,7.26,0.0,0.0
left_ear_base,green,0,213.9,39.06,0.0,0.0,4.53,0.061,9.31,0.0,0.0
left_ear_base,g_minus_r,0,140.6,5.33,0.0,0.0,4.53,0.114,9.31,0.0,0.0
left_ear_base,chrom,0,126.6,5.16,0.0,0.0,4.53,0.144,9.31,0.0,0.0
left_ear_base,pos,0,140.6,5.13,0.0,0.0,4.53,0.114,9.31,0.0,0.0
left_ear_base,pca,0,213.9,8.06,0.0,0.0,4.53,0.19,9.31,0.0,0.0
left_ear_base,ica,0,115.4,7.83,0.0,0.0,4.53,0.283,9.31,0.0,0.0
left_ear_base,dog_learned,0,124.2,6.96,0.0,0.0,4.53,0.164,9.31,0.0,0.0
left_ear_base,green,50,214.5,48.88,0.0,0.0,4.07,0.037,7.26,0.0,0.0
left_ear_base,g_minus_r,50,144.1,6.66,0.0,0.0,4.07,0.109,7.26,0.0,0.0
left_ear_base,chrom,50,127.1,8.04,0.0,0.0,4.07,0.115,7.26,0.0,0.0
left_ear_base,pos,50,144.1,7.04,0.0,0.0,4.07,0.106,7.26,0.0,0.0
left_ear_base,pca,50,214.5,8.19,0.0,0.0,4.07,0.128,7.26,0.0,0.0
left_ear_base,ica,50,144.1,6.53,0.0,0.0,4.07,0.067,7.26,0.0,0.0
left_ear_base,dog_learned,50,127.1,8.79,0.0,0.0,4.07,0.131,7.26,0.0,0.0
muzzle_area,green,0,105.5,54.04,0.35,0.35,4.53,0.587,9.31,973.4,202.0
muzzle_area,g_minus_r,0,99.6,10.63,0.0,0.0,4.53,0.414,9.31,973.4,202.0
muzzle_area,chrom,0,100.2,10.89,0.0,0.0,4.53,0.428,9.31,973.4,202.0
muzzle_area,pos,0,99.6,10.63,0.0,0.0,4.53,0.414,9.31,973.4,202.0
muzzle_area,pca,0,106.1,12.84,0.0,0.0,4.53,0.442,9.31,973.4,202.0
muzzle_area,ica,0,106.1,10.34,0.0,0.0,4.53,0.439,9.31,973.4,202.0
muzzle_area,dog_learned,0,143.0,10.66,0.0,0.0,4.53,0.366,9.31,973.4,202.0
muzzle_area,green,50,121.9,31.25,0.0,0.0,4.07,0.314,7.26,973.4,202.0
muzzle_area,g_minus_r,50,145.9,16.28,0.0,0.0,4.07,0.216,7.26,973.4,202.0
muzzle_area,chrom,50,145.9,17.91,0.0,0.0,4.07,0.199,7.26,973.4,202.0
muzzle_area,pos,50,145.9,16.42,0.0,0.0,4.07,0.218,7.26,973.4,202.0
muzzle_area,pca,50,121.3,21.36,0.0,0.0,4.07,0.286,7.26,973.4,202.0
muzzle_area,ica,50,145.9,15.56,0.0,0.0,4.07,0.288,7.26,973.4,202.0
muzzle_area,dog_learned,50,145.9,17.64,0.0,0.0,4.07,0.19,7.26,973.4,202.0
