method,region_id,region_label,region_kind,n,target_mae,target_rmse,range_mae,within_range_pct,median_quality_score
pca,patch_r02_c02,Patch R2 C2,patch,7,47.711,59.628,41.354,0.0,4.918
pos,patch_r01_c01,Patch R1 C1,patch,7,47.711,60.004,41.354,0.0,4.246
pos,patch_r05_c01,Patch R5 C1,patch,7,47.711,60.591,41.354,0.0,4.088
g_minus_r,patch_r01_c03,Patch R1 C3,patch,7,47.774,60.25,41.417,0.0,4.631
green,patch_r01_c01,Patch R1 C1,patch,7,47.836,60.225,41.479,0.0,4.74
green,patch_r05_c05,Patch R5 C5,patch,7,47.836,60.774,41.479,0.0,4.336
pca,patch_r01_c05,Patch R1 C5,patch,7,47.837,61.172,41.479,0.0,5.402
green,patch_r04_c04,Patch R4 C4,patch,7,47.899,58.82,41.542,0.0,4.505
ica,patch_r02_c03,Patch R2 C3,patch,7,47.962,60.854,41.605,0.0,5.009
ica,patch_r01_c03,Patch R1 C3,patch,7,47.962,62.44,41.605,0.0,4.899
green,patch_r05_c01,Patch R5 C1,patch,7,47.962,60.255,41.605,0.0,4.372
green,patch_r02_c05,Patch R2 C5,patch,7,48.087,60.997,41.73,0.0,4.231
chrom,upper_face,Upper face,roi,7,48.15,62.127,41.793,0.0,4.758
green,patch_r03_c01,Patch R3 C1,patch,7,48.213,62.042,41.856,0.0,4.622
chrom,patch_r01_c05,Patch R1 C5,patch,7,48.213,62.106,41.856,0.0,4.376
green,patch_r03_c05,Patch R3 C5,patch,7,48.213,61.232,41.856,0.0,4.312
pca,patch_r02_c03,Patch R2 C3,patch,7,48.276,60.74,41.919,0.0,5.208
green,patch_r01_c03,Patch R1 C3,patch,7,48.276,62.468,41.919,0.0,4.725
g_minus_r,patch_r01_c05,Patch R1 C5,patch,7,48.276,60.559,41.919,0.0,4.516
ica,patch_r03_c05,Patch R3 C5,patch,7,48.401,60.482,42.044,0.0,4.877
g_minus_r,patch_r05_c03,Patch R5 C3,patch,7,48.401,61.302,42.044,0.0,4.118
chrom,mid_face,Mid face,roi,7,48.401,60.817,42.044,0.0,4.063
pos,lower_face,Lower face,roi,7,48.402,63.033,42.044,0.0,4.212
ica,patch_r05_c02,Patch R5 C2,patch,7,48.464,61.824,42.107,0.0,4.783
green,patch_r05_c02,Patch R5 C2,patch,7,48.464,57.324,42.107,0.0,4.288
ica,face_full,Full face,roi,7,48.527,61.448,42.17,0.0,5.442
green,patch_r02_c03,Patch R2 C3,patch,7,48.527,61.883,42.17,0.0,5.011
pos,patch_r04_c03,Patch R4 C3,patch,7,48.652,59.535,42.295,0.0,4.291
pos,upper_face,Upper face,roi,7,48.652,61.9,42.295,0.0,4.184
green,patch_r01_c05,Patch R1 C5,patch,7,48.653,63.56,42.296,0.0,4.704
pca,patch_r05_c05,Patch R5 C5,patch,7,48.715,62.065,42.358,0.0,4.787
pca,patch_r03_c05,Patch R3 C5,patch,7,48.841,60.764,42.484,0.0,4.843
green,patch_r02_c02,Patch R2 C2,patch,7,48.841,61.828,42.484,0.0,4.799
g_minus_r,patch_r02_c04,Patch R2 C4,patch,7,48.841,62.455,42.484,0.0,4.408
ica,patch_r01_c02,Patch R1 C2,patch,7,48.966,62.592,42.609,0.0,5.055
g_minus_r,upper_face,Upper face,roi,7,48.966,61.199,42.609,0.0,4.782
pca,patch_r02_c05,Patch R2 C5,patch,7,48.967,60.978,42.609,0.0,4.951
green,patch_r01_c04,Patch R1 C4,patch,7,48.967,62.421,42.609,0.0,4.818
ica,patch_r04_c05,Patch R4 C5,patch,7,49.092,61.427,42.735,0.0,4.755
green,patch_r02_c04,Patch R2 C4,patch,7,49.092,62.304,42.735,0.0,4.398
g_minus_r,face_full,Full face,roi,7,49.155,62.057,42.798,0.0,5.277
g_minus_r,patch_r04_c01,Patch R4 C1,patch,7,49.155,61.45,42.798,0.0,4.447
g_minus_r,patch_r05_c04,Patch R5 C4,patch,7,49.155,61.205,42.798,0.0,4.294
pos,patch_r02_c04,Patch R2 C4,patch,7,49.155,60.673,42.798,0.0,4.216
ica,patch_r01_c05,Patch R1 C5,patch,7,49.218,61.977,42.861,0.0,5.041
pca,patch_r05_c01,Patch R5 C1,patch,7,49.28,61.951,42.923,0.0,4.799
chrom,patch_r05_c02,Patch R5 C2,patch,7,49.281,60.893,42.924,0.0,4.233
ica,mid_face,Mid face,roi,7,49.343,62.703,42.986,0.0,4.968
pos,patch_r05_c05,Patch R5 C5,patch,7,49.035,63.419,43.001,14.29,4.237
chrom,patch_r04_c03,Patch R4 C3,patch,7,49.343,63.011,43.001,14.29,4.327
pca,upper_face,Upper face,roi,7,49.469,62.405,43.112,0.0,5.512
g_minus_r,patch_r03_c05,Patch R3 C5,patch,7,49.531,60.457,43.174,0.0,4.447
g_minus_r,lower_face,Lower face,roi,7,49.532,61.376,43.174,0.0,4.783
chrom,patch_r02_c05,Patch R2 C5,patch,7,49.532,63.795,43.174,0.0,4.565
g_minus_r,patch_r05_c02,Patch R5 C2,patch,7,49.532,60.605,43.174,0.0,4.108
chrom,patch_r04_c04,Patch R4 C4,patch,7,49.406,64.526,43.189,14.29,4.12
